Line Item Date,Item ID,Order ID,Item Name,Currency,Per Unit Quantity,Item Unit,Item Revenue,Modifiers,Modifiers Revenue,Total Revenue,Discounts,Total Discount,Total,Payment State
30-Apr-2017 10:48 PM PDT,W5PHCTXRATZVW,K2HQB8FSS2TFG,Raju Gari Veg Palav,USD,,,11.00,,,11.00,,,11.00,Open
30-Apr-2017 10:25 PM PDT,QSVHAXTY2D0GR,ZK788JH578ZBA,No 1 Buttermilk/plain,USD,,,2.00,,,2.00,,,2.00,Open
30-Apr-2017 10:25 PM PDT,QSVHAXTY2D0GR,ZK788JH578ZBA,No 1 Buttermilk/plain,USD,,,2.00,,,2.00,,,2.00,Open
21-Apr-2017 07:48 PM PDT,FSVKST4J8KSRJ,QJ6XS4DHDNGS2,Mix Veg Kurma,USD,,,9.00,,,9.00,,,9.00,Paid
21-Apr-2017 08:30 PM PDT,G32DQYJH331N8,PQQAR68YQ8N6P,Gongura Kodi Pulusu,USD,,,12.00,Medium (87ASVAV858TZE) $0.00,0.00,12.00,,,12.00,Paid
21-Apr-2017 08:30 PM PDT,D5RASP5CT34HC,PQQAR68YQ8N6P,Hyderabad Dum Briyani,USD,,,12.00,Medium (87ASVAV858TZE) $0.00,0.00,12.00,,,12.00,Paid
21-Apr-2017 08:30 PM PDT,D5RASP5CT34HC,PQQAR68YQ8N6P,Hyderabad Dum Briyani,USD,,,12.00,Medium (87ASVAV858TZE) $0.00,0.00,12.00,,,12.00,Paid
21-Apr-2017 08:08 PM PDT,YV9WT3TRQY7A2,5N06G0816VDQ8,Garlic Naan,USD,,,3.00,,,3.00,,,3.00,Paid
21-Apr-2017 07:41 PM PDT,KW3XAQ3VGB75J,H27GPFYY2GAQA,Lime/salt/sweet/soda,USD,,,2.00,,,2.00,,,2.00,Paid
21-Apr-2017 08:25 PM PDT,D5RASP5CT34HC,YHS468G4FPWDC,Hyderabad Dum Briyani,USD,,,12.00,,,12.00,,,12.00,Paid
21-Apr-2017 08:25 PM PDT,Y2FPTVHM0E08Y,YHS468G4FPWDC,Veg Dum Briyani,USD,,,11.00,,,11.00,,,11.00,Paid
21-Apr-2017 08:25 PM PDT,Y2FPTVHM0E08Y,YHS468G4FPWDC,Veg Dum Briyani,USD,,,11.00,,,11.00,,,11.00,Paid
21-Apr-2017 08:24 PM PDT,2WSEE54VF197W,KVM4H0CSHGTTP,Hot Guru Chicken,USD,,,11.00,,,11.00,,,11.00,Paid
21-Apr-2017 08:24 PM PDT,RBZHR1JPF508P,KVM4H0CSHGTTP,Mastaan Kheema 